user_id,feature_a,label
0,5,0
1,5,0
2,8,0
3,7,0
5,3,1
6,8,1
7,7,1
9,7,1
11,10,0
12,7,0
13,3,0
14,10,0
15,6,1
17,3,0
18,6,0
19,9,1
22,9,1
23,5,0
25,6,0
27,7,1
28,3,0
29,7,1
30,3,0
31,4,1
32,5,1
36,4,0
39,10,1
41,8,0
42,4,1
43,9,0
44,7,1
46,3,0
47,10,0
48,3,1
50,10,0
51,7,0
52,7,1
53,7,1
54,7,0
55,8,0
56,3,1
57,7,0
58,3,1
59,7,0
60,6,1
63,5,0
65,8,0
66,9,0
67,7,1
69,7,0
70,4,0
71,10,1
75,10,1
76,9,1
77,10,0
79,10,1
81,3,0
82,5,0
83,6,0
84,7,0
85,4,1
86,3,1
87,10,1
88,7,0
90,5,0
91,8,0
92,9,0
93,9,1
94,9,1
95,4,0
96,6,0
97,5,0
98,9,0
99,10,1
