story_id,published_at,mentions_sgd,currency_mentions,word_count,unique_word_count
article_0007,2025-10-02 09:04:39,False,,40,35
article_0011,2025-10-02 15:03:32,False,,33,31
article_0010,2025-10-02 15:15:14,False,,72,57
article_0006,2025-10-02 07:12:28,False,,31,25
article_0001,2025-10-02 17:47:22,False,,46,37
article_0000,2025-10-01 22:30:03,False,,37,33
article_0003,2025-10-02 16:48:55,False,,35,34
article_0002,2025-10-02 17:35:53,False,,34,29
article_0009,2025-10-02 15:10:49,False,,32,30
article_0005,2025-10-02 00:25:45,False,,46,36
article_0004,2025-10-02 16:30:00,False,,39,33
article_0012,2025-10-02 18:29:00+08:00,True,,313,189
article_0008,2025-10-02 10:59:25,False,,44,35
