story_id,published_at,mentions_sgd,currency_mentions,word_count,unique_word_count
sp500_20251012_150236_yahoo_finance,2025-10-12 15:02:36+00:00,False,,11,11
sp500_20251007_143800_cnbc_markets,2025-10-07 14:38:00+00:00,False,,36,26
sp500_20251011_140219_yahoo_finance,2025-10-11 14:02:19+00:00,False,,14,14
sp500_20251011_171800_marketwatch,2025-10-11 17:18:00+00:00,False,,30,28
sp500_20251012_145701_yahoo_finance,2025-10-12 14:57:01+00:00,False,,16,16
sp500_20251004_011059_cnbc_markets,2025-10-04 01:10:59+00:00,False,,32,23
sp500_20251011_152135_yahoo_finance,2025-10-11 15:21:35+00:00,False,,13,13
sp500_20251001_174912_cnbc_markets,2025-10-01 17:49:12+00:00,False,,26,23
sp500_20251001_183441_cnbc_markets,2025-10-01 18:34:41+00:00,False,,32,26
sp500_20251012_160000_marketwatch,2025-10-12 16:00:00+00:00,False,,43,37
sp500_20251010_052913_cnbc_markets,2025-10-10 05:29:13+00:00,False,,39,33
sp500_20251010_130251_cnbc_markets,2025-10-10 13:02:51+00:00,False,,34,30
sp500_20251010_195613_cnbc_markets,2025-10-10 19:56:13+00:00,False,,23,23
sp500_20251011_152137_yahoo_finance,2025-10-11 15:21:37+00:00,False,,14,14
sp500_20251012_153806_seeking_alpha,2025-10-12 15:38:06+00:00,False,,8,8
sp500_20251001_131830_cnbc_markets,2025-10-01 13:18:30+00:00,False,,34,30
sp500_20251004_150001_cnbc_markets,2025-10-04 15:00:01+00:00,False,,40,39
sp500_20251011_152134_yahoo_finance,2025-10-11 15:21:34+00:00,False,,14,13
sp500_20251001_163300_cnbc_markets,2025-10-01 16:33:00+00:00,False,,36,29
sp500_20251010_052735_cnbc_markets,2025-10-10 05:27:35+00:00,False,,38,35
sp500_20251012_140637_yahoo_finance,2025-10-12 14:06:37+00:00,False,,14,14
sp500_20251010_173450_cnbc_markets,2025-10-10 17:34:50+00:00,False,,42,37
sp500_20251004_104615_cnbc_markets,2025-10-04 10:46:15+00:00,False,,32,27
sp500_20251011_170859_cnbc_markets,2025-10-11 17:08:59+00:00,False,,32,30
sp500_20251012_141449_seeking_alpha,2025-10-12 14:14:49+00:00,False,,9,9
sp500_20251006_154339_cnbc_markets,2025-10-06 15:43:39+00:00,True,,42,33
sp500_20251011_181900_marketwatch,2025-10-11 18:19:00+00:00,False,,24,22
