story_id,headline,published_at,source,sentiment_score,confidence,sentiment_score_lexicon,positive_hits,negative_hits,volatility_hits,policy_tone,hawkish_hits,dovish_hits
sp500_20251012_150236_yahoo_finance,"October tax deadline remains for many filers, even during government shutdown",2025-10-12 15:02:36+00:00,yahoo_finance,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251007_143800_cnbc_markets,NYSE-owner Intercontinental Exchange rises after it takes $2 billion stake in Polymarket,2025-10-07 14:38:00+00:00,cnbc_markets,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251011_140219_yahoo_finance,Jim Cramer Says ServiceNow is One of the Few SaaS Stocks He Can Recommend,2025-10-11 14:02:19+00:00,yahoo_finance,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251011_171800_marketwatch,Be ready with these portfolio changes if the shutdown damages the Fed’s credibility,2025-10-11 17:18:00+00:00,marketwatch,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251012_145701_yahoo_finance,"How Will Dow Futures React To Trump's 100% China Tariff? Oracle, Tesla, Taiwan Semi In Focus",2025-10-12 14:57:01+00:00,yahoo_finance,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251004_011059_cnbc_markets,From data to culture: How international brands are trying to crack the code on the fickle Chinese consumer,2025-10-04 01:10:59+00:00,cnbc_markets,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251011_152135_yahoo_finance,IsoEnergy Ltd. (ISOU) – Among the Best Nuclear Energy Stocks to Invest in,2025-10-11 15:21:35+00:00,yahoo_finance,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251001_174912_cnbc_markets,Prediction markets see government shutdown lasting nearly two weeks,2025-10-01 17:49:12+00:00,cnbc_markets,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251001_183441_cnbc_markets,"Dollar claws back losses from U.S. government shutdown, turns slightly higher",2025-10-01 18:34:41+00:00,cnbc_markets,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251012_160000_marketwatch,Stocks face earnings test with S&P 500 on pace for worst performance in a shutdown since 1990,2025-10-12 16:00:00+00:00,marketwatch,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251010_052913_cnbc_markets,"China's property slump this year is looking much worse than expected, S&P says",2025-10-10 05:29:13+00:00,cnbc_markets,-0.02564102564102564,0.3,-0.02564102564102564,0,1,0,neutral,0,0
sp500_20251010_130251_cnbc_markets,"Trump's Fed chair candidates list narrowed down to five by Bessent after interviews, sources say",2025-10-10 13:02:51+00:00,cnbc_markets,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251010_195613_cnbc_markets,"Chinese stocks slide as Trump threatens tariffs, accuses Beijing of holding world ‘captive’",2025-10-10 19:56:13+00:00,cnbc_markets,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251011_152137_yahoo_finance,Is PG&E Corporation (PCG) Among the Best Nuclear Energy Stocks According to Wall Street?,2025-10-11 15:21:37+00:00,yahoo_finance,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251012_153806_seeking_alpha,Is the stock market open on Columbus Day?,2025-10-12 15:38:06+00:00,seeking_alpha,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251001_131830_cnbc_markets,Bitcoin rises as investors seek a global safe haven amid shutdown,2025-10-01 13:18:30+00:00,cnbc_markets,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251004_150001_cnbc_markets,Investors may want to consider boosting their exposure abroad — even with U.S. stocks around record highs,2025-10-04 15:00:01+00:00,cnbc_markets,0.025,0.3,0.025,1,0,0,neutral,0,0
sp500_20251011_152134_yahoo_finance,Duke Energy Corporation (DUK) – Among the Best Nuclear Energy Stocks to Buy Now,2025-10-11 15:21:34+00:00,yahoo_finance,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251001_163300_cnbc_markets,Leon Cooperman says we've reached the stage of the bull market that Warren Buffett warned about,2025-10-01 16:33:00+00:00,cnbc_markets,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251010_052735_cnbc_markets,'Bitcoin is not an asset class': UK's biggest investment platform has a stark warning for investors,2025-10-10 05:27:35+00:00,cnbc_markets,0.02631578947368421,0.3,0.02631578947368421,1,0,0,neutral,0,0
sp500_20251012_140637_yahoo_finance,'Companies keep crushing their earnings': Why Wall Street expects AI to power stocks higher,2025-10-12 14:06:37+00:00,yahoo_finance,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251010_173450_cnbc_markets,"Why Wall Street's old 'wall of worry' and new 'debasement trade' are boosting gold, bitcoin in typically volatile October",2025-10-10 17:34:50+00:00,cnbc_markets,0.0,0.3,0.0,1,1,1,neutral,0,0
sp500_20251004_104615_cnbc_markets,"Bitcoin rallies to within 1% of all-time high, gaining safe-haven status during shutdown",2025-10-04 10:46:15+00:00,cnbc_markets,0.03125,0.3,0.03125,1,0,0,neutral,0,0
sp500_20251011_170859_cnbc_markets,New tariff threats crush stocks during a big week for Nvidia and key portfolio moves,2025-10-11 17:08:59+00:00,cnbc_markets,0.0,0.3,0.0,0,0,0,neutral,0,0
sp500_20251012_141449_seeking_alpha,Prediction markets still see strong chance of Trump-Xi meeting,2025-10-12 14:14:49+00:00,seeking_alpha,0.1111111111111111,0.3,0.1111111111111111,1,0,0,neutral,0,0
sp500_20251006_154339_cnbc_markets,Paul Tudor Jones says ingredients are in place for massive rally before a 'blow off' top to bull market,2025-10-06 15:43:39+00:00,cnbc_markets,0.023809523809523808,0.3,0.023809523809523808,1,0,0,neutral,0,0
sp500_20251011_181900_marketwatch,Is the stock market open on Columbus Day/Indigenous Peoples’ Day? Does the post office deliver mail?,2025-10-11 18:19:00+00:00,marketwatch,0.0,0.3,0.0,0,0,0,neutral,0,0
