feature,importance
ema_7,0.03289252
sma_50,0.026975049
bb_lower,0.026048776
high,0.025222488
ema_14,0.025058229
ema_21,0.02462291
bb_upper,0.024552934
close,0.024422688
hist_vol_50,0.023751743
bb_middle,0.023659742
sma_14,0.022966638
sma_7,0.022905508
vwap,0.022608763
low,0.022350607
volume_ma20,0.021853473
parkinson_vol,0.02183345
sma_21,0.021641525
macd_signal,0.021478053
volume_ma50,0.021465695
rs_vol,0.020168887
volatility_50,0.019826481
hl_range_ma20,0.019448234
hist_vol_20,0.01931639
yz_vol,0.018878799
realized_range_ma,0.018488856
macd,0.018170036
volatility_20,0.01781523
open,0.017420303
illiquidity_ma20,0.016488964
bb_width,0.015879327
price_impact_ma20,0.015733406
gk_vol,0.015690727
atr_14,0.015261546
vol_of_vol,0.01494273
adx_14,0.014743796
momentum_20,0.014431075
ewma_vol,0.014225587
vol_regime_low,0.013909864
volume,0.013088897
macd_histogram,0.012574721
rsi_20,0.012471135
close_vwap_ratio,0.01203187
roc_10,0.011718639
momentum_5,0.011055764
bb_position,0.01094671
momentum_10,0.010579811
rsi_14,0.010387596
volume_ratio,0.009509415
realized_range,0.009316631
return_10,0.008789819
roc_5,0.008699491
spread_pct,0.008140211
volume_zscore,0.008073538
hl_range_pct,0.007509813
hl_range,0.007415777
return_5,0.0073931986
order_flow_imbalance,0.006666134
spread_proxy,0.0066081816
illiquidity,0.006360251
price_impact,0.0063162055
return_1,0.006100091
volume_velocity,0.0059537403
volume_acceleration,0.005141365
vol_regime_high,0.0
